Date,Open,High,Low,Close,Volume
26-09-2011,1104,1108.8,1065,1076.8,413800
27-09-2011,1082.9,1110.9,1082.9,1106.15,290800
28-09-2011,1110,1110.65,1067,1078.25,282400
29-09-2011,1067.35,1116.9,1057,1105.1,662300
30-09-2011,1100,1107.9,1076.1,1083,216200
03-10-2011,1083.9,1100,1073.3,1077.75,421500
04-10-2011,1082,1116,1081.95,1107.85,1755600
05-10-2011,1117,1129,1077,1085.55,710300
07-10-2011,1115,1125,1096.8,1113.2,449100
10-10-2011,1080.1,1091.85,1065,1070.95,709200
11-10-2011,1065,1087.3,1063.2,1073.2,704000
12-10-2011,1067.85,1090,1065.65,1085.85,337600
13-10-2011,1075.05,1083.75,1050,1058.25,816400
14-10-2011,1050,1051,1021.6,1027.25,879100
17-10-2011,1030.55,1065.9,1010,1051.6,1683800
18-10-2011,1047,1064.9,1039.3,1052.3,597600
19-10-2011,1065,1074,1052.3,1065.8,585100
20-10-2011,1063.8,1079.9,1050,1077.45,522600
21-10-2011,1110,1117.5,1088,1094.55,1422400
24-10-2011,1112,1124.55,1106.3,1112.4,550300
25-10-2011,1122,1160,1117.2,1151.25,946300
26-10-2011,1159.7,1169,1145,1145,86300
28-10-2011,1167,1185,1111.15,1126,1538200
31-10-2011,1072,1133.1,1060,1125.3,2206500
01-11-2011,1122,1140,1112.65,1133.5,860700
02-11-2011,1116,1136,1116,1124,359100
03-11-2011,1120,1134,1120,1129.5,360500
04-11-2011,1135,1152.8,1117.4,1122.25,738100
08-11-2011,1130,1133.95,1118,1124.15,228100
09-11-2011,1129,1129,1071.55,1076.5,667800
11-11-2011,1084,1091.8,1037,1059.75,739300
14-11-2011,1068.35,1072.8,1021.1,1027,464400
15-11-2011,1031.25,1041.9,991,1003.5,598800
16-11-2011,1009,1009,981.5,991.4,606200
17-11-2011,988,998.95,941,947.15,1312500
18-11-2011,945,949,907.05,940.6,1641300
21-11-2011,939,967.3,931,943.05,1261600
22-11-2011,953,965,943.65,959.55,844100
23-11-2011,954.65,971.5,944.1,953.6,574200
24-11-2011,953.7,999,951.7,988.95,656100
25-11-2011,992,992.1,945.95,949.95,916100
28-11-2011,966.95,987.1,958,965.4,927500
29-11-2011,965.9,980.8,952.5,958.9,423500
30-11-2011,956.95,976.15,952.1,972.15,473400
01-12-2011,992,1008,958,962.25,1036600
02-12-2011,963.5,997,963,992.35,846000
05-12-2011,982.05,1005,980.05,999.55,520400
06-12-2011,999.55,999.55,999.55,999.55,0
07-12-2011,999.55,1014.9,991,998.7,533500
08-12-2011,1003,1004.85,965.85,975.9,537000
09-12-2011,963.5,994.5,956.35,985.8,634600
12-12-2011,985.8,990.05,951,958.2,546100
13-12-2011,952.1,969.4,950,956.5,519100
14-12-2011,950,963.55,937,947.65,616800
15-12-2011,940,940,911.45,931.7,539200
16-12-2011,931.7,949.9,908.7,931.55,848800
19-12-2011,925,931.2,900,916.65,620800
20-12-2011,924,926.9,908.7,916.15,366300
21-12-2011,926.1,969,926.1,961.9,702700
22-12-2011,941,978.95,941,965.85,648100
23-12-2011,975,988.5,968.25,975.5,372500
26-12-2011,984,991,965.05,969.5,351100
27-12-2011,971,979.4,951.3,963.15,230300
28-12-2011,964.9,972.2,950.25,959.3,232200
29-12-2011,954,959.5,915.5,921.75,544000
30-12-2011,935,939.9,911,918.3,390600
02-01-2012,923,944.35,917,938.9,531400
03-01-2012,947,964.7,941.35,952.8,363100
04-01-2012,953,969,943.15,948.25,296600
05-01-2012,948,948,925.6,933.45,458700
06-01-2012,928.7,955.8,927,949.75,349100
09-01-2012,949.9,975,948,971.05,430300
10-01-2012,981,993,977.25,986.35,356500
11-01-2012,988.55,995,972.2,987.9,433900
12-01-2012,984.8,1009,982.05,994.5,522500
13-01-2012,997,1009.2,974,977.05,516900
